movie_title,release_date,imdb_rating,genre,budget,revenue,country,release_year,profit,rating_category
Rules Don't Apply,2016-11-23,5.8,"Romance, Comedy, Drama",25000000.0,3885342.0,US,2016,-21114658.0,Low
Soapdish,1991-05-31,6.2,Comedy,20200000.0,36489888.0,US,1991,16289888.0,Medium
All Is Lost,2013-08-23,6.6,"Action, Adventure, Drama",9000000.0,6108720.0,AU,2013,-2891280.0,Medium
Agatha and the Truth of Murder,2018-12-23,6.2,"Drama, Mystery",11480240.6,77542.0,US,2018,-11402698.6,Medium
Private Parts,1997-03-07,6.5,"Comedy, Drama",28000000.0,41230799.0,US,1997,13230799.0,Medium
True Grit,1969-06-11,7.4,Western,35000000.0,252276928.0,US,1969,217276928.0,Medium
Paterson,2016-06-14,7.1,Drama,5000000.0,10727536.0,AU,2016,5727536.0,Medium
Serial (Bad) Weddings,2014-04-16,6.7,Comedy,13000000.0,176404493.0,FR,2014,163404493.0,Medium
City Hall,1996-05-09,6.0,"Drama, Thriller",40000000.0,20278055.0,AU,1996,-19721945.0,Low
Che: Part One,2009-10-01,6.8,"Drama, History, War",30000000.0,216794294.4,AU,2009,186794294.4,Medium
Untraceable,2008-04-17,6.2,Thriller,35000000.0,52649951.0,AU,2008,17649951.0,Medium
Wolf Creek 2,2014-02-20,6.4,"Horror, Thriller",8000000.0,9630444.0,AU,2014,1630444.0,Medium
The Baytown Outlaws,2012-10-16,6.0,"Action, Comedy, Crime",4000000.0,37470.0,AU,2012,-3962530.0,Low
2036: Nexus Dawn,2018-01-17,6.9,"Science Fiction, Thriller",114000000.0,499328883.8,AU,2018,385328883.8,Medium
Sharkdog’s Fintastic Halloween,2021-10-15,4.5,"Animation, Fantasy, Family",114300000.0,601247524.8,US,2021,486947524.79999995,Low
LEGO Jurassic World: The Indominus Escape,2016-10-03,5.8,"Family, Animation, Comedy",170800000.0,440909536.8,US,2016,270109536.8,Low
Ghost Town,2009-02-12,6.5,"Drama, Comedy, Fantasy",20000000.0,29958228.0,AU,2009,9958228.0,Medium
War on Everyone,2016-10-07,5.7,"Action, Comedy, Mystery",187200000.0,295523878.0,GB,2016,108323878.0,Low
Romeo Is Bleeding,1994-02-04,6.2,Crime,10000000.0,3275585.0,US,1994,-6724415.0,Medium
Airplane II: The Sequel,1983-04-22,6.1,Comedy,20846151.6,27150534.0,AU,1983,6304382.3999999985,Medium
Bully,2001-06-15,6.7,"Crime, Drama",2100000.0,1381824.0,US,2001,-718176.0,Medium
A History of Violence,2006-02-23,7.2,"Drama, Thriller, Crime",32000000.0,61477797.0,AU,2006,29477797.0,Medium
China Salesman,2017-06-16,5.9,"Action, Thriller",70520000.0,457654821.6,CN,2017,387134821.6,Low
Lake Placid: The Final Chapter,2012-09-29,5.1,"Horror, Science Fiction",142800000.0,566930143.8,US,2012,424130143.79999995,Low
Tommy Boy,1995-06-08,6.8,Comedy,57368000.0,32648673.0,AU,1995,-24719327.0,Medium
How the West Was Won,1963-02-20,7.1,Western,15000000.0,50000000.0,US,1963,35000000.0,Medium
Tokyo Story,1965-05-31,8.2,Drama,135800000.0,936544994.2,AU,1965,800744994.2,High
Zatoichi,2004-09-02,7.3,"Adventure, Drama, Action",2500000.0,34196922.0,AU,2004,31696922.0,Medium
Bambina,1974-09-17,4.5,"Comedy, Drama, Romance",139500000.0,862567677.4,IT,1974,723067677.4,Low
Walk Hard: The Dewey Cox Story,2008-01-24,6.6,"Comedy, Music, Drama",35000000.0,20606053.0,AU,2008,-14393947.0,Medium
Crush,2013-04-09,6.0,Thriller,82000000.0,618157116.2,US,2013,536157116.20000005,Low
Scooby-Doo! Meets the Boo Brothers,1987-10-18,7.3,"Animation, Adventure, Comedy, Family, TV Movie, Mystery",103200000.0,844069514.2,US,1987,740869514.2,Medium
Midnight in the Garden of Good and Evil,1997-11-21,6.3,"Crime, Drama, Mystery, Thriller",35000000.0,25078937.0,US,1997,-9921063.0,Medium
Taps,1981-12-20,6.8,"War, Drama",14000000.0,35856053.0,US,1981,21856053.0,Medium
Kidnapping Stella,2019-06-29,5.3,Thriller,117800000.0,411789921.0,DE,2019,293989921.0,Low
The Garden of Sinners: Future Gospel,2013-09-16,7.4,"Animation, Science Fiction",56300000.0,336786306.2,JP,2013,280486306.2,Medium
Eating Out: The Open Weekend,2012-07-12,5.8,"Comedy, Romance",102000000.0,616295796.0,US,2012,514295796.0,Low
Caddyshack,1980-08-21,6.6,Comedy,6000000.0,39849764.0,AU,1980,33849764.0,Medium
Zombie Apocalypse,2011-10-29,5.4,"Action, Horror, Science Fiction",159600000.0,459045829.8,US,2011,299445829.8,Low
The Art of Getting By,2011-06-17,6.6,"Drama, Romance",4000000.0,1989035.0,US,2011,-2010965.0,Medium
Blown Away,1994-09-09,6.1,Action,28000000.0,30156002.0,AU,1994,2156002.0,Medium
Always Be My Maybe,2019-06-13,6.6,"Romance, Comedy",66240000.0,320425004.6,AU,2019,254185004.60000002,Medium
Salmon Fishing in the Yemen,2012-04-05,6.4,"Drama, Romance, Comedy",3485000.0,34564651.0,AU,2012,31079651.0,Medium
Junglee,2019-03-29,6.7,"Action, Adventure",140800000.0,483308405.4,IN,2019,342508405.4,Medium
Saving Mr. Banks,2013-12-26,7.4,"Comedy, Drama, History",35000000.0,114962525.0,AU,2013,79962525.0,Medium
The Killer,1989-07-06,7.7,"Action, Crime, Drama, Thriller",40521514.6,2350174.0,HK,1989,-38171340.6,High
Inside Deep Throat,2005-02-11,6.6,"History, Documentary",2000000.0,691880.0,US,2005,-1308120.0,Medium
